# mesh name: boxMesh_1
# primitive scorer name: dDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
8,26,0,0,0,0
8,27,0,0,0,0
8,28,0,0,0,0
8,29,0,0,0,0
8,30,0,6.323213681627131e-09,3.998303126351653e-17,1
8,31,0,0,0,0
8,32,0,0,0,0
8,33,0,0,0,0
8,34,0,0,0,0
8,35,0,0,0,0
8,36,0,0,0,0
8,37,0,0,0,0
8,38,0,0,0,0
8,39,0,0,0,0
8,40,0,0,0,0
8,41,0,0,0,0
8,42,0,0,0,0
8,43,0,0,0,0
8,44,0,0,0,0
8,45,0,0,0,0
8,46,0,0,0,0
8,47,0,0,0,0
8,48,0,0,0,0
8,49,0,0,0,0
8,50,0,1.18033512602663e-11,1.260147480506527e-22,2
9,0,0,1.120993323334146e-11,1.256626030959733e-22,1
9,1,0,0,0,0
9,2,0,0,0,0
9,3,0,0,0,0
9,4,0,0,0,0
9,5,0,0,0,0
9,6,0,0,0,0
9,7,0,0,0,0
9,8,0,0,0,0
9,9,0,0,0,0
9,10,0,0,0,0
9,11,0,0,0,0
9,12,0,0,0,0
9,13,0,0,0,0
9,14,0,0,0,0
9,15,0,0,0,0
9,16,0,0,0,0
9,17,0,0,0,0
9,18,0,0,0,0
9,19,0,0,0,0
9,20,0,0,0,0
9,21,0,0,0,0
9,22,0,0,0,0
9,23,0,0,0,0
9,24,0,0,0,0
9,25,0,0,0,0
9,26,0,0,0,0
9,27,0,0,0,0
9,28,0,0,0,0
9,29,0,0,0,0
9,30,0,1.154447248147685e-08,1.332748448755762e-16,1
9,31,0,0,0,0
9,32,0,0,0,0
9,33,0,0,0,0
9,34,0,0,0,0
9,35,0,0,0,0
9,36,0,0,0,0
9,37,0,0,0,0
9,38,0,0,0,0
9,39,0,0,0,0
9,40,0,0,0,0
9,41,0,0,0,0
9,42,0,0,0,0
9,43,0,0,0,0
9,44,0,0,0,0
9,45,0,0,0,0
9,46,0,0,0,0
9,47,0,0,0,0
9,48,0,0,0,0
9,49,0,0,0,0
9,50,0,1.159780578619195e-11,1.345090990542274e-22,1
10,0,0,1.120993323334146e-11,1.256626030959733e-22,1
10,1,0,0,0,0
10,2,0,0,0,0
10,3,0,0,0,0
10,4,0,5.060432838257754e-10,2.560798051051744e-19,1
10,5,0,0,0,0
10,6,0,0,0,0
10,7,0,0,0,0
10,8,0,1.946226341061506e-09,3.787796970641659e-18,1
10,9,0,0,0,0
10,10,0,0,0,0
10,11,0,0,0,0
10,12,0,4.220651353282186e-10,1.781389784596275e-19,1
10,13,0,0,0,0
10,14,0,0,0,0
10,15,0,0,0,0
10,16,0,0,0,0
10,17,0,0,0,0
10,18,0,0,0,0
10,19,0,0,0,0
10,20,0,0,0,0
10,21,0,0,0,0
10,22,0,0,0,0
10,23,0,0,0,0
10,24,0,0,0,0
10,25,0,0,0,0
10,26,0,0,0,0
10,27,0,2.045449899947466e-10,4.1838652931951e-20,1
10,28,0,1.648853247270075e-10,1.404829169545528e-20,2
10,29,0,0,0,0
10,30,0,1.154447248147687e-08,1.332748448755768e-16,1
10,31,0,0,0,0
10,32,0,0,0,0
10,33,0,0,0,0
10,34,0,0,0,0
10,35,0,0,0,0
10,36,0,3.919000130807348e-11,1.535856202526802e-21,1
10,37,0,2.441050688939162e-10,5.958728465970358e-20,1
10,38,0,0,0,0
10,39,0,0,0,0
10,40,0,0,0,0
10,41,0,0,0,0
10,42,0,0,0,0
10,43,0,0,0,0
10,44,0,0,0,0
10,45,0,1.329213273590186e-10,1.766807926688339e-20,1
10,46,0,0,0,0
10,47,0,0,0,0
10,48,0,0,0,0
10,49,0,0,0,0
10,50,0,0,0,0
11,0,0,0,0,0
11,1,0,0,0,0
11,2,0,0,0,0
11,3,0,0,0,0
11,4,0,0,0,0
11,5,0,0,0,0
11,6,0,0,0,0
11,7,0,0,0,0
11,8,0,0,0,0
11,9,0,0,0,0
11,10,0,0,0,0
11,11,0,0,0,0
11,12,0,1.120993323334146e-11,1.256626030959733e-22,1
11,13,0,0,0,0
11,14,0,0,0,0
11,15,0,0,0,0
11,16,0,0,0,0
11,17,0,0,0,0
11,18,0,0,0,0
11,19,0,0,0,0
11,20,0,3.627936045437631e-11,1.316191994978563e-21,1
11,21,0,0,0,0
11,22,0,0,0,0
11,23,0,0,0,0
11,24,0,2.798637767291164e-11,7.83237335250847e-22,1
11,25,0,0,0,0
11,26,0,0,0,0
11,27,0,0,0,0
11,28,0,0,0,0
11,29,0,9.517039145338295e-09,9.057403409390146e-17,1
11,30,0,1.154447248147687e-08,1.332748448755768e-16,1
11,31,0,3.969167323849023e-10,1.575428924471082e-19,1
11,32,0,0,0,0
11,33,0,0,0,0
11,34,0,0,0,0
11,35,0,0,0,0
11,36,0,0,0,0
11,37,0,0,0,0
11,38,0,0,0,0
11,39,0,0,0,0
11,40,0,0,0,0
11,41,0,0,0,0
11,42,0,0,0,0
11,43,0,0,0,0
11,44,0,0,0,0
11,45,0,0,0,0
11,46,0,0,0,0
11,47,0,0,0,0
11,48,0,0,0,0
11,49,0,0,0,0
11,50,0,0,0,0
12,0,0,0,0,0
12,1,0,1.120993323334146e-11,1.256626030959733e-22,1
12,2,0,0,0,0
12,3,0,0,0,0
12,4,0,0,0,0
12,5,0,0,0,0
12,6,0,0,0,0
12,7,0,0,0,0
12,8,0,0,0,0
12,9,0,0,0,0
12,10,0,0,0,0
12,11,0,0,0,0
12,12,0,0,0,0
12,13,0,4.080087820819972e-10,1.664711662560347e-19,1
12,14,0,5.55743530714119e-10,3.088508719305949e-19,1
12,15,0,1.120993323334146e-11,1.256626030959733e-22,1
12,16,0,0,0,0
12,17,0,0,0,0
12,18,0,0,0,0
12,19,0,0,0,0
12,20,0,0,0,0
12,21,0,3.067692469642408e-06,9.406981202110713e-12,2
12,22,0,0,0,0
12,23,0,0,0,0
12,24,0,0,0,0
12,25,0,0,0,0
12,26,0,0,0,0
12,27,0,0,0,0
12,28,0,2.665461254812134e-11,7.104683700904673e-22,1
12,29,0,2.027433336138581e-09,4.110485932486017e-18,1
12,30,0,0,0,0
12,31,0,0,0,0
12,32,0,0,0,0
12,33,0,2.058494288456019e-10,4.237398735606051e-20,1
12,34,0,0,0,0
12,35,0,0,0,0
12,36,0,0,0,0
12,37,0,0,0,0
12,38,0,0,0,0
12,39,0,1.120993323334146e-11,1.256626030959733e-22,1
12,40,0,6.53167695541851e-12,4.266280384994521e-23,1
12,41,0,0,0,0
12,42,0,0,0,0
12,43,0,0,0,0
12,44,0,2.461735683263221e-10,6.060142574251438e-20,1
12,45,0,0,0,0
12,46,0,0,0,0
12,47,0,0,0,0
12,48,0,0,0,0
12,49,0,0,0,0
12,50,0,0,0,0
13,0,0,2.241986646668292e-11,2.513252061919466e-22,2
13,1,0,0,0,0
