name,ekin_MeV,posX_mm,posY_mm,posZ_mm,momX,momY,momZ,process
e-,0.00169154,-0.00818985,-0.00507583,-95.2103,0.284472,-0.957563,0.0463487,eIoni
e-,0.00250208,-0.0542789,0.0554126,-84.5843,-0.888797,0.455556,0.0500822,eIoni
e-,0.00162963,0.21652,0.0294168,-67.934,-0.469817,0.882155,0.0327909,eIoni
e-,0.399041,1.67068,0.268589,-42.1259,-0.367419,0.799268,0.475577,eIoni
gamma,0.00850834,2.33142,0.514776,-39.6554,0.577224,0.334837,0.744779,eBrem
e-,0.00797034,2.41996,0.566138,-39.5412,0.94627,-0.318987,0.0531041,phot
e-,0.00436513,-0.0121267,-0.00460806,-95.3641,0.996438,-0.0646637,0.0541265,eIoni
gamma,0.0054459,-2.12705,4.28092,-37.3375,-0.180264,0.239119,0.954111,eBrem
e-,0.0049079,-2.13511,4.29162,-37.2948,0.392344,0.356414,0.84796,phot
e-,0.00142663,-0.0101504,-0.00473631,-95.364,0.594654,-0.316874,-0.738903,eIoni
e-,0.00160095,0.297625,-0.246197,-69.8619,-0.608445,0.79342,0.0167252,eIoni
e-,0.37441,0.769787,-0.634953,-49.355,0.455708,0.722017,0.520597,eIoni
gamma,0.00483637,4.86776,-15.7771,-36.7126,-0.54169,-0.27178,0.795429,eBrem
e-,0.00429837,4.62683,-15.898,-36.3588,0.977762,0.147757,0.148829,phot
gamma,0.0229069,0.900671,-0.485796,-49.2478,-0.140399,0.0577212,0.988411,eBrem
e-,0.0223689,-0.055266,-0.0927895,-42.518,0.749592,0.66177,0.0131271,phot
e-,0.571242,10.7164,9.2839,-31.1646,0.567781,0.805822,-0.168157,eIoni
e-,0.00141247,0.00618149,-0.0640614,-82.8707,-0.828138,-0.557345,0.0596199,eIoni
e-,0.00186391,0.111184,-0.204639,-60.3399,0.995764,0.0797798,0.0457178,eIoni
gamma,0.00760682,-0.0956162,0.136529,-45.9067,-0.0387673,0.128219,0.990988,eBrem
e-,0.00706882,-0.16794,0.375732,-44.058,0.257241,0.959957,0.110944,phot
e-,0.693933,1.14962,-2.88398,-35.3783,0.0838103,-0.503022,0.8602,eIoni
gamma,0.00538339,1.74714,-1.30633,-33.7306,-0.427808,0.600877,0.675224,eBrem
e-,0.00484539,1.67014,-1.19818,-33.609,0.888652,-0.298144,0.348437,phot
e-,0.00141606,-0.0711508,0.0679947,-83.8802,0.660289,0.751008,0.00234539,eIoni
e-,0.00100617,-0.314142,0.221802,-68.9765,-0.498171,-0.867029,0.00926364,eIoni
e-,0.528164,0.593992,0.328127,-43.7374,-0.563885,-0.322019,0.760485,eIoni
e-,0.00254936,0.465343,0.150661,-51.3475,0.898383,-0.434633,0.0632723,eIoni
e-,0.445936,11.7895,-1.55743,-24.639,0.404803,0.453773,0.793867,eIoni
e-,0.717006,-0.00227227,0.00787461,-49.8105,0.670204,0.227334,0.706502,eIoni
e-,0.00115046,-9.53716e-05,0.000119288,-99.0689,-0.204462,0.978818,0.0105334,eIoni
e-,0.00151077,0.0330652,-0.0287599,-88.6498,-0.50597,-0.860411,-0.0607188,eIoni
e-,2.53752,0.444639,-0.0195094,-48.8939,0.306784,0.0716296,0.94908,eIoni
gamma,0.0209859,3.28848,2.53235,-32.4268,-0.00517337,0.699017,0.715087,eBrem
e-,0.0204479,3.2566,6.84055,-28.0196,0.93995,-0.341208,-0.00842429,phot
e-,0.0134783,-0.0221296,-0.0182106,-89.8969,0.600418,-0.793641,0.0981481,eIoni
e-,0.0013063,-0.116577,0.0303508,-84.9411,0.922907,-0.380168,0.0609536,eIoni
e-,0.760274,2.62288,7.08831,-35.7908,0.97054,0.0123078,0.240627,eIoni
e-,0.00183073,0.00199415,6.12362e-05,-97.8647,0.758425,0.650578,0.0392458,eIoni
e-,0.00832459,0.043516,-0.187782,-77.0311,-0.361472,-0.928197,0.0882502,eIoni
gamma,0.00322356,0.107693,0.016674,-48.4372,0.0839072,-0.0217517,0.996236,eBrem
e-,0.414604,0.275742,0.823293,-44.2827,-0.770129,0.40877,0.489702,eIoni
e-,0.00268556,0.110245,0.0160125,-48.4069,-0.568945,-0.776568,-0.270637,phot
e-,2.27176,-0.482305,-0.0226075,-43.9554,-0.588875,-0.0499136,0.806681,eIoni
e-,0.659303,-0.381519,-0.0830548,-43.1193,-0.416333,-0.568802,0.709317,eIoni
e-,0.372879,-2.49454,-3.18855,-38.9687,0.44957,-0.801082,-0.395164,eIoni
e-,0.00145906,0.00569271,-0.0237152,-93.6642,0.703248,-0.710694,0.018863,eIoni
gamma,1.01422,-2.54732,6.22945,-33.121,-0.485449,0.449396,0.749921,eBrem
e-,0.00242296,0.0414922,0.0913415,-79.9422,-0.150072,0.987754,0.0426652,eIoni
e-,0.0132189,0.104228,-0.102699,-59.4833,-0.0372193,-0.995629,0.0856626,eIoni
e-,0.00144259,1.62629,-3.04194,-60.2376,-0.294256,-0.79315,-0.533224,eIoni
e-,0.00178721,0,0,-99.1388,0.69899,-0.714285,0.0347909,eIoni
e-,0.00331899,-0.111595,0.026779,-80.1337,0.993622,-0.0871315,0.071581,eIoni
gamma,0.377676,-0.756267,0.168562,-47.8659,-0.0490052,0.242626,0.968881,eBrem
e-,0.190127,-4.5547,18.9747,27.2328,-0.407143,0.200409,0.891106,compt
e-,0.934259,-1.29641,5.20732,-39.9274,-0.366785,0.320862,0.873222,eIoni
e-,0.568545,2.44068,9.41536,-38.4077,0.64563,0.599469,-0.473074,eIoni
e-,0.00384269,-0.129908,-0.109187,-74.4605,-0.294948,-0.952896,0.0706813,eIoni
gamma,0.0838378,-11.1843,-11.5754,-34.8784,0.438814,-0.893903,0.091541,eBrem
e-,0.00441941,-6.20016,-21.7285,-33.8386,0.823209,-0.0793274,-0.56217,compt
e-,0.00102971,0.198187,0.20091,-77.2892,0.851966,0.499383,-0.157388,eIoni
e-,0.00127946,-0.010318,-0.00659657,-96.6651,0.709993,0.701304,-0.063897,eIoni
e-,0.00147605,0.237648,0.0162216,-67.4437,-0.0623159,-0.995081,0.0770124,eIoni
e-,0.00208383,0.130986,0.0883953,-75.2658,-0.368164,0.921618,0.122783,eIoni
gamma,0.00484367,3.48493,-1.68279,-31.6584,-0.134422,-0.642563,0.75435,eBrem
e-,0.00430567,3.48303,-1.69189,-31.6477,0.191383,-0.815041,-0.546882,phot
gamma,0.00568306,-0.727786,0.577612,-41.4643,0.0890901,-0.0413342,0.995166,eBrem
gamma,0.293884,-0.304548,-2.96516,-32.8842,-0.020662,-0.930576,0.365514,eBrem
e-,0.0700339,-0.632777,-17.748,-27.0777,0.0752875,-0.904886,-0.418942,compt
e-,0.00344805,-8.64841,-23.3128,38.8374,0.810804,0.47736,0.338711,compt
e-,0.00514506,-0.71008,0.569397,-41.2665,0.758526,-0.645328,0.0904994,phot
e-,0.401284,1.91,-4.36953,-35.5837,0.794311,-0.535089,-0.287663,eIoni
e-,0.00117319,-0.0919163,-0.0977991,-69.9527,-0.758038,0.651103,0.0379974,eIoni
gamma,0.0136629,-1.60938,3.04616,-43.1943,-0.113987,0.459495,0.880835,eBrem
e-,0.927176,-1.61458,3.06551,-43.1596,-0.749439,0.312105,0.583893,eIoni
e-,0.0131249,-2.40931,6.27074,-37.0129,0.171203,0.011067,0.985174,phot
gamma,0.00353288,0.140008,-1.35369,-39.5812,0.130239,-0.103638,0.986051,eBrem
e-,0.00299488,0.144698,-1.35742,-39.5457,-0.0429096,-0.86262,0.504029,phot
gamma,0.0181095,0.077401,0.0712807,-49.1196,-0.0602922,0.195412,0.978866,eBrem
gamma,0.0268403,0.156498,0.390836,-48.1259,0.0775253,0.324274,0.942781,eBrem
e-,0.357005,0.175701,0.451513,-47.8802,-0.730515,0.465141,0.499992,eIoni
gamma,0.173925,1.11001,1.66664,-29.6102,0.259316,-0.74502,0.614573,eBrem
e-,0.0482989,16.1738,-41.612,6.09077,-0.161634,-0.459079,0.873568,compt
e-,0.00171649,39.1855,-48.3561,-19.6647,-0.465115,0.376185,-0.801344,compt
e-,0.000144284,1.01253,3.97147,-37.7158,-0.429356,-0.762626,0.483793,compt
e-,0.00200422,2.01255,6.60824,-34.9649,-0.151007,0.792547,0.590818,compt
e-,0.024126,2.24606,6.28299,-35.1178,0.814881,0.0338462,0.578639,phot
e-,0.0175715,0.0233457,0.246478,-48.242,0.510035,-0.859656,0.0292622,phot
e-,0.00467889,0.0387058,-0.0704592,-78.0011,0.993526,-0.0253196,0.110752,eIoni
e-,0.00392671,0.0597787,0.0219228,-85.5717,0.805902,0.589471,0.0551947,eIoni
e-,0.362034,-0.848381,3.90979,-39.948,-0.745078,-0.0112458,0.666882,eIoni
gamma,0.224581,-0.856347,4.26053,-39.5958,0.235194,0.531014,0.814069,eBrem
gamma,0.00842474,-1.06475,4.45282,-38.5218,-0.239676,0.0686251,0.968424,eBrem
e-,0.00788674,-1.19987,4.49151,-37.9759,0.669541,0.730679,0.133502,phot
e-,0.0448218,7.95108,24.1457,-9.11095,0.345131,-0.272335,0.898175,compt
e-,0.00181841,0.117378,-0.0885418,-59.4081,0.329637,0.943314,-0.0386922,eIoni
gamma,0.0155137,3.72017,-7.27955,-34.9029,-0.0937718,-0.906759,0.411089,eBrem
e-,0.0149757,3.28565,-11.4813,-32.998,0.416036,-0.22706,0.880544,phot
gamma,0.611959,-1.18957,0.00747152,-39.5405,-0.360825,0.156248,0.919452,eBrem
e-,0.00195171,-0.0549295,-0.0379085,-86.2712,-0.967963,0.249818,-0.0252716,eIoni
e-,0.0012345,-0.102163,-0.15135,-74.2291,0.748907,-0.661545,0.038681,eIoni
gamma,0.560684,2.14297,-2.27632,-41.8467,0.499139,-0.288678,0.817022,eBrem
e-,0.251414,4.65127,-3.727,-37.7409,0.267119,-0.740979,0.616115,compt
e-,0.00154897,0.0059159,-0.00135228,-98.1526,0.797687,-0.586997,0.138314,eIoni
e-,0.0039215,0.00662945,-0.000311352,-97.6824,0.457039,-0.866521,0.200639,eIoni
e-,0.00100819,-0.325582,0.170155,-60.6961,0.46347,-0.874848,0.140841,eIoni
e-,0.780909,-8.44013,-5.05751,-30.0963,0.494788,0.317945,0.808762,eIoni
e-,0.00131258,-0.130198,0.101456,-58.8279,-0.217876,0.975508,0.0302184,eIoni
e-,0.825371,6.18797,7.34853,-35.2458,0.0732074,0.863481,0.49904,eIoni
e-,0.0012601,-0.530272,-0.263944,-55.9499,-0.998529,-0.0410748,0.0353817,eIoni
gamma,3.18753,0.817481,-2.08206,-42.5976,0.349193,-0.25511,0.901656,eBrem
gamma,0.0206723,2.83609,6.88019,-38.3635,0.206193,0.563085,0.800262,eBrem
gamma,0.00996447,0.0641781,13.5347,-29.4149,-0.0146268,0.441108,0.897335,eBrem
gamma,0.00563436,5.59331,15.6661,-30.2501,0.429435,0.46517,0.774081,eBrem
e-,0.00509636,5.62203,15.6972,-30.1983,0.718175,0.382145,0.581541,phot
e-,0.00942647,0.060525,13.6448,-29.1908,-0.715566,0.687143,0.125697,phot
e-,0.0201343,4.93247,12.6051,-30.2272,0.549176,0.716049,-0.430906,phot
e-,0.00115386,-0.0156526,-0.573303,-55.8424,0.526394,0.850212,-0.00705017,eIoni
e-,0.779919,5.73315,-0.183547,-31.7354,0.593919,0.447912,0.668308,eIoni
e-,0.605556,5.31209,-1.08048,-28.4871,0.511391,0.846316,0.149093,eIoni
e-,1.2781,-0.0100106,-0.0111425,-49.0809,0.427646,0.382782,0.818899,eIoni
gamma,2.09072,-0.125774,2.01878,-40.7394,-0.0684771,0.745867,0.662566,eBrem
e-,1.51898,-1.719,19.3726,-25.3238,-0.210066,0.558535,0.80244,compt
gamma,0.0118402,0.0884334,-0.0519099,-48.2863,0.0396785,-0.0337583,0.998642,eBrem
e-,0.411941,-0.545788,-0.885899,-36.8599,0.29552,-0.223641,0.928791,eIoni
e-,0.0113022,0.732768,-0.600108,-32.0695,0.978185,0.129802,0.162188,phot
e-,0.00119351,0.833759,-0.201651,-52.427,-0.158477,0.971844,-0.174367,eIoni
gamma,0.234359,1.76324,2.27288,-39.6586,0.194407,0.375277,0.906296,eBrem
e-,0.509231,7.94911,5.72178,-25.0229,-0.199636,-0.105823,0.974139,eIoni
e-,0.0620555,20.4673,38.3787,47.5371,0.571636,0.704338,0.420879,compt
e-,1.8912,-0.320502,0.00724512,-48.0934,-0.275607,0.481012,0.832267,eIoni
e-,0.729017,-0.350707,-0.0282577,-47.9691,0.209887,0.332939,0.919293,eIoni
e-,0.0119904,0.00250766,-0.0151373,-86.318,0.846252,0.517655,0.126055,eIoni
gamma,0.137076,-7.987,1.98842,-35.6156,-0.696819,-0.165965,0.697781,eBrem
e-,0.557625,-9.33095,2.40668,-32.386,-0.774323,0.506593,0.379193,eIoni
e-,0.00109933,0.0029376,-0.00722964,-97.8434,0.997332,0.0672404,-0.0284072,eIoni
gamma,0.324674,2.25993,-0.0209155,-40.9923,-0.131939,-0.82351,0.551746,eBrem
e-,0.477392,4.41642,1.41376,-28.6941,-0.0794651,-0.0183699,0.996668,eIoni
e-,0.00151958,0.140817,-0.0297655,-77.7256,-0.998292,-0.049861,0.0304575,eIoni
e-,0.67605,-2.50019,-2.00334,-36.9653,-0.800662,0.100171,0.590682,eIoni
e-,0.00374214,0.017616,0.00945677,-92.335,0.285046,0.950021,0.127311,eIoni
e-,0.791116,0.185124,-0.552715,-46.9773,0.591821,-0.383458,0.709019,eIoni
e-,0.00173924,0.0888162,0.0131388,-76.5215,0.949203,0.301922,0.0886363,eIoni
e-,0.357743,-0.847872,1.79678,-40.9429,0.481255,0.474145,0.737279,eIoni
e-,0.508587,-2.9145,1.82021,-38.3039,-0.172251,0.606543,0.776167,eIoni
gamma,0.0218379,-6.9318,-1.33267,-35.7873,-0.517504,-0.831922,0.200236,eBrem
e-,0.0212999,-21.4779,-24.7166,-30.159,0.124386,-0.982472,-0.138839,phot
gamma,0.157636,-9.98984,9.06154,-35.0233,-0.576651,0.490461,0.653393,eBrem
e-,0.0265449,-11.1702,10.0655,-33.6858,-0.383265,-0.26433,0.885007,compt
e-,0.0426878,-13.2473,19.6597,-37.4264,-0.0238965,0.95119,-0.307679,compt
e-,0.0039689,-19.2656,-2.84552,-31.7121,-0.727182,-0.406241,-0.55333,compt
