name, ekin_MeV, posX_mm, posY_mm, posZ_mm,momX, momY, momZ, process
gamma,1.23619,3.34287,6.80759,-30.4622,-0.451664,0.320123,1.1053,eBrem
e-,0.45216,-0.10942,-0.0537335,-47.3004,-0.777444,-0.19571,0.597727,eIoni
gamma,1.23619,3.34287,6.80759,-30.4622,-0.365367,0.258958,0.894118,eBrem
gamma,0.117964,-8.39823,-6.84326,-29.3841,-0.0673915,-0.0855373,0.0453573,eBrem
gamma,0.117964,-8.39823,-6.84326,-29.3841,-0.571288,-0.725113,0.384501,eBrem
e-,0.0261401,-19.2458,-20.6117,-22.0832,-0.151949,-0.0515585,0.0406392,compt
e-,0.014372,-12.8572,-23.2568,-21.5915,0.0717151,-0.0838925,-0.0520927,compt
e-,0.0147023,1.61003,29.9688,42.4675,0.0131879,0.049177,0.11247,compt
e-,0.00268337,-1.29387,24.9955,-20.9147,-0.029039,0.0347946,-0.0263755,compt
e-,0.0261401,-19.2458,-20.6117,-22.0832,-0.917986,-0.311486,0.245517,compt
e-,0.014372,-12.8572,-23.2568,-21.5915,0.587618,-0.687398,-0.426837,compt
e-,0.0147023,1.61003,29.9688,42.4675,0.106821,0.398329,0.911001,compt
e-,0.00268337,-1.29387,24.9955,-20.9147,-0.553793,0.663556,-0.502998,compt
e-,0.00101535,0,0,-99.7034,0.0268937,-0.0173523,-0.00378794,eIoni
gamma,0.147262,-0.194296,0.0890157,-46.3694,0.00889957,0.0063726,0.146855,eBrem
gamma,0.105909,-0.74677,-3.21794,-32.6489,-0.0115669,-0.0499612,0.0926647,eBrem
e-,0.00101535,0,0,-99.7034,0.834452,-0.538402,-0.117531,eIoni
gamma,0.147262,-0.194296,0.0890157,-46.3694,0.0604335,0.0432739,0.997234,eBrem
gamma,0.105909,-0.74677,-3.21794,-32.6489,-0.109215,-0.471738,0.874949,eBrem
e-,0.00384949,-8.92678,-38.5502,32.883,-0.0565631,0.0121594,0.0245306,compt
e-,0.00892312,-7.27013,-40.8325,35.4097,-0.00614388,0.0104046,0.0951474,compt
